Category,State,Population 2011,Decadal Population Growth Rate,Population Density,PerCapita_net_income_lookup.2022-23
State,Andhra Pradesh,49386799,9,308,219881
State,Arunachal Pradesh,1383727,26,17,199992
State,Assam,31205576,17.1,398,119308
State,Bihar,104099452,25.4,1106,53478
State,Chhattisgarh,25545198,22.6,189,137329
State,Goa,1458545,8.2,394,492648
State,Gujarat,60439692,19.3,308,272451
Union Territory,Chandigarh,1055450,17.2,9258,399654
State,Haryana,25351462,19.9,573,296592
State,Himachal Pradesh,6864602,12.9,123,218788
Union Territory,Delhi,16787941,21.2,11320,430120
State,Jammu & Kashmir,12541302,23.6,56,130492
State,Jharkhand,32988134,22.4,414,96449
State,Karnataka,61095297,15.6,319,304474
State,Kerala,33406061,4.9,860,252662
State,Madhya Pradesh,72626809,20.3,236,132010
State,Maharashtra,112374333,16,365,252389
State,Manipur,2855794,31.8,128,111853
State,Meghalaya,2966889,27.9,132,123896
State,Mizoram,1097206,23.5,52,215144
State,Nagaland,1978502,-0.6,119,145537
State,Odisha,41974218,14,270,143768
State,Punjab,27743338,13.9,551,181678
State,Rajasthan,68548437,21.3,200,150653
State,Sikkim,610577,12.9,86,520466
State,Tamil Nadu,72147030,15.6,555,277802
State,Telangana,35193978,13.6,306,312522
State,Tripura,3673917,14.8,350,157364
State,Uttarakhand,10086292,18.8,189,230994
State,Uttar Pradesh,199812341,20.2,829,83636
State,West Bengal,91276115,13.8,1028,139442
Union Territory,Andaman & Nicobar Island,380581,6.9,46,0
Union Territory,Dadra & Nagar Haveli,343709,55.9,700,0
Union Territory,Daman & Diu,243247,53.8,2191,0
Union Territory,Lakshadweep,64473,6.3,2149,0
Union Territory,Puducherry,1247953,28.1,2547,245180
